Equipo,Comp,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast,G+A/90,G-TP/90,G+A-TP,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Dis,DaP,%_de TT,Dis/90,DaP/90,G/T,G/TalArc,Dist,FK,Pases_exito,Pases_intentados,%_pase_exito,Dist.tot.pase,Dist.pase.prg,Pase_corto_exito,Pase_corto_intentado,%Pase_corto_exito,Pase_medio_exito,Pase_medio_intentado,%Pase_medio_exito,Pase_largo_exito,Pase_largo_intentado,%Pase_largo_exito,Pases_clave,Pases_1/3,Pases_Area,CrAP,Pases_tiros_libres,Cambios_juego,Pcz,SE,SE_dentro,SE_fuera,SE_recto,Pases_fuera_juego,Pases_bloqueados,ACT,ACT/90,PassLive,PassDead,ACT/HASTA,ACT/Dis,ACT/FR,ACT/Def,ACG,ACG/90,PassLive.1,PassDead.1,ACG/HASTA.1,ACG/Dis,ACG/FR,ACG/Def,Tkl,TklG,Duelos_exito,Duelos_intentados,%Duelos_exito,Duelos_perdidos,Bloqueos_defensivos,Disparos_bloqueados,Pases_interceptados,Intercepciones,Tkl+Int,Despejes_defensivos,Errores_provocan_tiro_oponente,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Transportes,Errores de control,Pases_recibidos,Pases_progresivos_decididos,2a amarilla,Fls,FR,Recuperaciones_balón,Aereos_ganados,Aereos_perdidos,%Aereo_ganados,GC,GC/90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,Penal_concedido,Penal_detenido,PC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Long/prom/Saque/meta,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
Manchester Utd,eng Premier League,29,26.4,52.7,29,319,2610,29.0,35,23,58,32,3,3,64,3,38.9,36.5,29.2,65.7,492,1055,1.21,0.79,2.0,1.1,1.9,1.34,1.01,2.35,1.26,2.27,379,128,33.8,13.07,4.41,0.08,0.25,17.2,10,12712,15444,82.3,210004,68549,6251,6940,90.1,5160,5847,88.3,940,1843,51.0,294,859,231,50,314,84,446,144,80,28,9,55,268,676,23.31,508,59,29,40,27,13,57,1.97,35,4,4,5,5,4,620,371,294,539,54.5,245,290,90,200,301,921,585,18,18736,1969,6644,7996,4269,709,11435,375,12584,1043,1,309,281,1317,362,372,49.3,40,1.38,119,79,68.9,10,7,12,8,27.6,3,1,0,3,0,10,1,40.5,0.32,1.5,0.05,952,35.1,356,20,5.6,20,0.69,11.7
Marseille,fr Ligue 1,32,27.3,64.2,27,297,2430,27.0,53,36,89,47,6,7,51,6,49.3,43.7,35.1,78.8,550,1387,1.96,1.33,3.3,1.74,3.07,1.83,1.3,3.12,1.62,2.92,386,146,37.8,14.3,5.41,0.12,0.32,16.9,11,16642,18918,88.0,263697,81963,8367,8970,93.3,7012,7667,91.5,833,1433,58.1,305,1251,262,54,363,45,489,138,68,47,0,42,262,708,26.22,527,57,42,53,19,10,96,3.56,74,2,5,8,5,2,446,284,222,390,56.9,168,219,58,161,220,666,421,25,21605,1536,5512,11124,5113,679,13076,362,16474,1377,4,312,294,1197,256,207,55.3,36,1.33,110,73,69.1,15,4,8,5,18.5,2,3,0,2,1,3,2,37.2,0.32,3.2,0.12,824,25.3,251,21,8.4,49,1.81,18.5
Milan,it Serie A,34,26.3,54.7,30,330,2700,30.0,44,30,74,40,4,8,56,5,51.3,45.1,36.7,81.8,769,1331,1.47,1.0,2.47,1.33,2.33,1.71,1.22,2.93,1.5,2.73,445,150,33.7,14.83,5.0,0.09,0.27,17.9,5,12912,15149,85.2,228528,75718,5516,6097,90.5,6115,6751,90.6,1064,1751,60.8,360,1011,273,65,418,70,554,178,111,16,0,51,197,819,27.3,609,55,58,48,34,15,80,2.67,52,4,5,10,6,3,439,282,185,365,50.7,180,223,74,149,187,626,528,14,18100,1521,5426,8291,4575,793,11169,400,12764,1321,1,332,340,1100,357,327,52.2,35,1.17,109,75,68.8,13,8,9,10,33.3,1,1,0,1,0,2,2,30.3,0.27,-2.7,-0.09,1023,31.4,356,22,6.2,62,2.07,32.7
Monaco,fr Ligue 1,28,25.0,56.1,27,297,2430,27.0,53,42,95,49,4,5,50,3,61.3,57.5,47.2,104.7,540,1339,1.96,1.56,3.52,1.81,3.37,2.27,1.75,4.02,2.13,3.88,409,144,35.2,15.15,5.33,0.12,0.34,15.8,7,11740,14424,81.4,196731,73148,5611,6356,88.3,4950,5682,87.1,903,1682,53.7,326,998,328,47,391,78,444,150,69,58,0,59,230,721,26.7,549,51,33,48,23,17,91,3.37,69,6,4,8,2,2,560,353,286,523,54.7,237,271,56,215,287,847,518,15,17634,1379,4509,8767,4537,801,10210,490,11644,1331,2,372,351,1415,345,347,49.9,33,1.22,104,71,71.2,15,5,7,8,29.6,3,0,0,3,1,2,0,30.0,0.27,-3.0,-0.11,579,32.0,298,21,7.0,34,1.26,14.0
Montpellier,fr Ligue 1,35,27.3,44.9,26,286,2385,26.5,21,12,33,18,3,4,74,6,29.2,26.2,20.1,46.3,420,819,0.79,0.45,1.25,0.68,1.13,1.1,0.76,1.86,0.99,1.75,297,92,31.0,11.21,3.47,0.06,0.2,19.7,18,8484,10940,77.6,160578,60077,3472,4040,85.9,3653,4292,85.1,1140,2017,56.5,217,659,133,61,377,95,523,129,45,71,0,53,217,513,19.36,363,47,26,26,38,13,35,1.32,20,4,4,3,4,0,475,280,237,476,49.8,239,285,100,185,207,682,588,19,13843,1644,4661,6244,3101,449,7239,369,8406,811,2,326,352,1073,327,375,46.6,60,2.31,152,93,63.8,4,3,19,0,0.0,5,1,0,5,0,3,2,53.1,0.32,-4.9,-0.19,704,38.4,370,24,6.5,23,0.88,14.5
Monza,it Serie A,35,27.5,47.9,30,330,2700,30.0,23,15,38,20,3,3,73,3,23.3,21.1,16.0,37.1,406,864,0.77,0.5,1.27,0.67,1.17,0.78,0.53,1.31,0.7,1.24,257,74,28.8,8.57,2.47,0.08,0.27,18.5,14,10927,13552,80.6,199954,68668,4497,5090,88.3,5062,5766,87.8,1151,2056,56.0,188,682,153,56,450,65,524,108,34,59,0,36,228,451,15.03,333,45,20,25,25,3,37,1.23,29,3,1,4,0,0,443,243,218,411,53.0,193,313,133,180,240,683,682,28,16606,2250,6439,7145,3165,383,9871,419,10817,850,2,416,411,1049,487,513,48.7,52,1.73,142,90,64.8,2,9,19,3,10.0,2,2,0,2,1,8,2,46.1,0.3,-3.9,-0.13,822,29.6,447,18,4.0,26,0.87,13.1
Nantes,fr Ligue 1,30,27.4,40.2,27,297,2430,27.0,31,23,54,27,4,4,55,3,32.7,29.7,23.3,52.9,393,861,1.15,0.85,2.0,1.0,1.85,1.21,0.86,2.07,1.1,1.96,282,100,35.5,10.44,3.7,0.1,0.27,15.5,3,8661,11033,78.5,156220,60810,3728,4234,88.0,3834,4414,86.9,896,1800,49.8,213,715,182,72,341,31,499,118,58,48,0,26,232,508,18.81,364,47,42,29,18,8,53,1.96,39,1,7,4,2,0,516,293,252,457,55.1,205,321,91,230,218,734,792,9,14174,1738,4812,6406,3089,534,7579,392,8610,853,0,326,301,1050,324,353,47.9,46,1.7,122,79,68.0,6,9,12,4,14.8,7,0,0,7,0,3,3,43.7,0.32,0.7,0.02,658,42.4,469,26,5.5,13,0.48,10.6
Napoli,it Serie A,26,29.3,53.5,30,330,2700,30.0,44,32,76,40,4,5,36,0,42.1,38.3,30.9,69.2,583,1256,1.47,1.07,2.53,1.33,2.4,1.4,1.03,2.43,1.28,2.31,397,115,29.0,13.23,3.83,0.1,0.35,16.5,7,13171,15649,84.2,231372,76387,5785,6413,90.2,5943,6623,89.7,1173,1868,62.8,310,986,250,58,377,73,548,172,106,40,2,44,278,706,23.53,538,59,32,45,21,11,77,2.57,56,4,4,6,6,1,438,265,215,396,54.3,181,254,77,177,220,658,604,9,18709,1717,5685,8881,4303,689,10454,371,13057,1246,0,327,340,1163,407,339,54.6,24,0.8,83,58,72.3,19,7,4,13,43.3,1,2,1,1,1,0,1,25.4,0.28,2.4,0.08,794,27.3,327,22,6.7,41,1.37,16.2
Newcastle Utd,eng Premier League,24,27.8,50.3,28,308,2520,28.0,46,35,81,43,3,4,52,1,46.3,43.1,34.5,77.6,539,1127,1.64,1.25,2.89,1.54,2.79,1.65,1.23,2.88,1.54,2.77,363,114,31.4,12.96,4.07,0.12,0.38,15.7,9,11269,13850,81.4,188524,67492,5566,6225,89.4,4664,5311,87.8,825,1670,49.4,283,832,268,48,375,67,495,156,101,13,5,57,255,660,23.57,503,49,31,31,31,15,83,2.96,70,4,3,2,3,1,456,282,238,456,52.2,218,327,111,216,215,671,628,25,16899,1752,5698,7049,4317,758,9846,355,11187,1120,0,296,345,1238,336,335,50.1,38,1.36,124,87,69.4,14,5,9,9,32.1,0,0,0,0,0,4,1,37.7,0.31,0.7,0.02,655,43.8,378,35,9.3,47,1.68,15.3
Nice,fr Ligue 1,30,27.1,46.7,27,297,2430,27.0,47,32,79,42,5,5,51,5,46.7,42.8,32.5,75.3,540,987,1.74,1.19,2.93,1.56,2.74,1.73,1.2,2.93,1.59,2.79,374,141,37.7,13.85,5.22,0.11,0.3,16.2,12,10176,12487,81.5,172148,65400,4905,5476,89.6,4267,4928,86.6,803,1507,53.3,279,707,242,47,365,49,437,131,50,52,0,43,227,661,24.48,473,52,43,43,33,17,78,2.89,55,6,4,6,6,1,528,329,255,452,56.4,197,344,96,248,298,826,653,23,15832,1770,5376,7224,3432,652,8206,423,10090,982,2,313,346,1274,328,325,50.2,33,1.22,129,96,76.0,13,8,6,6,22.2,2,1,0,2,0,3,1,36.7,0.27,4.7,0.17,712,25.8,382,29,7.6,22,0.81,11.8
Nott'ham Forest,eng Premier League,23,26.9,40.0,29,319,2610,29.0,48,34,82,45,3,3,64,2,36.5,34.2,26.6,60.8,486,839,1.66,1.17,2.83,1.55,2.72,1.26,0.92,2.18,1.18,2.1,358,129,36.0,12.34,4.45,0.13,0.35,17.5,12,8056,10742,75.0,136871,56236,4093,4681,87.4,2867,3576,80.2,784,1768,44.3,257,688,182,42,337,42,451,124,61,55,0,67,222,620,21.38,439,58,32,47,30,14,78,2.69,53,7,3,6,6,3,531,328,250,501,49.9,251,334,121,213,251,782,875,16,14256,1874,4884,5637,3922,619,6628,446,7985,833,2,307,319,1197,427,421,50.4,35,1.21,123,88,73.2,16,6,7,12,41.4,2,0,0,2,1,4,0,36.5,0.29,1.5,0.05,506,47.2,521,17,3.3,6,0.21,7.8
Osasuna,es La Liga,24,28.2,46.0,29,319,2610,29.0,31,16,47,24,7,7,71,0,30.8,26.0,20.1,46.1,433,938,1.07,0.55,1.62,0.83,1.38,1.06,0.69,1.76,0.9,1.59,294,85,28.9,10.14,2.93,0.08,0.28,16.9,6,9133,12177,75.0,172427,70305,3806,4462,85.3,4000,4860,82.3,1118,2179,51.3,210,727,196,91,364,93,615,122,49,30,2,54,278,512,17.66,368,58,26,27,29,4,54,1.86,31,2,4,6,10,1,482,288,240,482,49.8,242,321,77,244,205,687,673,14,15258,1735,4866,6849,3700,555,7842,413,9026,923,0,387,275,1164,493,399,55.3,42,1.45,138,97,72.5,7,13,9,6,20.7,4,0,0,4,1,3,1,44.7,0.3,3.7,0.13,768,48.2,397,30,7.6,68,2.34,10.6
Paris S-G,fr Ligue 1,25,24.4,67.2,27,297,2430,27.0,76,57,133,71,5,5,30,0,72.7,68.8,57.8,126.5,746,1633,2.81,2.11,4.93,2.63,4.74,2.69,2.14,4.83,2.55,4.69,499,218,43.7,18.48,8.07,0.14,0.33,16.2,9,18086,20225,89.4,299341,85837,8565,9157,93.5,7773,8351,93.1,1299,1837,70.7,417,1396,336,57,328,145,450,172,50,54,0,47,252,914,33.85,732,46,54,46,21,15,134,4.96,106,2,9,10,5,2,499,310,260,482,53.9,222,294,87,207,227,726,402,16,23236,1676,5551,11508,6328,965,14100,386,17985,1627,0,241,266,1322,210,174,54.7,26,0.96,89,63,74.2,22,5,0,6,22.2,3,0,0,3,1,5,0,26.0,0.28,0.0,0.0,675,26.7,239,14,5.9,25,0.93,13.4
Parma,it Serie A,32,24.5,45.5,30,330,2700,30.0,34,24,58,28,6,7,60,5,34.6,29.1,22.4,51.5,502,897,1.13,0.8,1.93,0.93,1.73,1.15,0.75,1.9,0.97,1.72,350,107,30.6,11.67,3.57,0.08,0.26,19.7,17,10351,12937,80.0,184171,67692,4443,5051,88.0,4656,5349,87.0,972,1889,51.5,267,751,179,49,455,62,335,145,45,20,1,27,201,630,21.0,465,49,40,30,34,12,57,1.9,35,5,6,6,4,1,409,230,187,376,49.7,189,337,119,218,218,627,737,16,16161,2124,5671,6879,3798,534,9390,432,10225,887,2,305,364,1090,370,389,48.7,49,1.69,128,81,65.6,5,11,14,4,13.3,5,0,0,5,3,5,2,44.5,0.32,-2.5,-0.08,947,34.7,506,53,10.5,27,0.93,16.3
Rayo Vallecano,es La Liga,25,29.8,50.7,29,319,2610,29.0,31,24,55,31,0,0,74,3,34.9,34.9,28.3,63.2,434,1019,1.07,0.83,1.9,1.07,1.9,1.2,0.98,2.18,1.2,2.18,382,117,30.6,13.17,4.03,0.08,0.26,19.0,19,10371,13395,77.4,185342,71641,4737,5398,87.8,4402,5143,85.6,1035,2200,47.0,274,818,175,63,325,84,578,147,75,48,0,58,301,652,22.48,478,61,34,41,31,7,49,1.69,35,3,6,4,0,1,494,311,241,511,47.2,270,340,94,246,259,753,747,14,16808,1979,6008,6896,4076,527,8826,460,10298,1009,0,419,293,1321,355,407,46.6,31,1.07,119,87,75.6,10,10,9,7,24.1,2,2,0,2,0,4,1,31.0,0.24,1.0,0.03,774,42.3,410,27,6.6,18,0.62,12.9
RB Leipzig,de Bundesliga,29,26.4,52.2,27,297,2430,27.0,39,27,66,37,2,3,55,4,37.4,35.1,29.4,64.5,400,1067,1.44,1.0,2.44,1.37,2.37,1.39,1.09,2.48,1.3,2.39,325,113,34.8,12.04,4.19,0.11,0.33,16.3,6,11664,14495,80.5,196434,72909,5441,6230,87.3,5092,5932,85.8,863,1575,54.8,257,873,238,45,316,38,458,124,46,49,0,67,287,579,21.44,429,53,32,29,26,10,65,2.41,47,2,4,9,3,0,441,265,204,418,48.8,214,409,126,283,239,680,791,20,17881,1788,5496,8777,3774,618,9161,413,11601,1060,2,304,269,1249,391,361,52.0,34,1.26,121,86,73.6,11,9,7,13,48.1,2,1,0,2,1,4,0,38.2,0.31,4.2,0.15,630,33.4,399,21,5.3,32,1.19,15.6
Real Madrid,es La Liga,26,27.6,60.8,29,319,2610,29.0,62,43,105,53,9,11,45,3,55.9,47.6,39.5,87.1,738,1522,2.14,1.48,3.62,1.83,3.31,1.93,1.36,3.29,1.64,3.0,459,170,37.0,15.83,5.86,0.12,0.31,18.1,13,16578,18759,88.4,278897,85654,7981,8541,93.4,6849,7401,92.5,1335,2000,66.8,368,1365,267,21,426,173,407,162,67,51,1,65,242,855,29.48,626,60,71,53,33,12,107,3.69,75,6,9,9,7,1,444,272,197,364,54.1,167,261,79,182,262,706,478,14,21796,1919,6121,9867,5999,890,13635,397,16471,1512,0,256,403,1173,235,193,54.9,29,1.0,92,64,71.7,19,6,4,10,34.5,3,0,0,3,0,4,1,26.2,0.28,-1.8,-0.06,791,28.7,334,12,3.6,22,0.76,11.0
Real Sociedad,es La Liga,31,26.0,54.3,29,319,2610,29.0,26,19,45,24,2,2,68,4,30.8,29.3,24.1,53.4,508,1057,0.9,0.66,1.55,0.83,1.48,1.06,0.83,1.9,1.01,1.84,292,92,31.5,10.07,3.17,0.08,0.26,18.1,10,11246,14292,78.7,198601,69386,5143,5825,88.3,4702,5532,85.0,1125,2116,53.2,216,844,194,50,398,122,562,157,54,69,0,66,286,520,17.93,384,52,27,25,23,9,50,1.72,38,3,5,0,4,0,508,324,247,458,53.9,211,340,102,238,216,724,679,15,17534,1754,5383,8245,4059,576,9417,441,11112,1043,0,386,332,1234,442,495,47.2,31,1.07,105,73,75.2,11,5,13,12,41.4,5,1,0,5,0,4,0,28.3,0.23,-2.7,-0.09,794,46.0,362,23,6.4,31,1.07,13.4
Reims,fr Ligue 1,33,25.4,44.6,27,297,2430,27.0,28,15,43,27,1,2,56,5,30.1,28.5,20.1,48.6,476,952,1.04,0.56,1.59,1.0,1.56,1.11,0.74,1.86,1.06,1.8,313,90,28.8,11.59,3.33,0.09,0.3,17.7,6,9265,11628,79.7,163326,60839,4160,4700,88.5,3933,4544,86.6,907,1751,51.8,217,700,178,57,341,76,495,113,47,50,0,45,205,544,20.15,403,43,30,37,20,11,49,1.81,36,3,3,7,0,0,461,296,242,460,52.6,218,302,100,202,234,695,689,15,14798,1904,5481,6063,3435,518,7786,467,9172,939,2,309,292,1136,271,340,44.4,41,1.52,143,101,73.4,6,8,13,4,14.8,3,1,0,3,1,6,0,50.2,0.34,9.2,0.34,727,37.1,423,25,5.9,22,0.81,13.3
Rennes,fr Ligue 1,35,26.0,50.4,27,297,2430,27.0,38,22,60,33,5,7,55,2,36.7,31.6,21.5,53.1,530,1154,1.41,0.81,2.22,1.22,2.04,1.36,0.8,2.16,1.17,1.97,333,122,36.6,12.33,4.52,0.1,0.27,17.2,6,10874,13342,81.5,191378,66827,4752,5376,88.4,4859,5564,87.3,996,1728,57.6,249,855,215,53,384,88,469,136,74,33,0,37,254,595,22.04,435,58,29,39,23,11,63,2.33,40,5,5,7,5,1,493,295,245,427,57.4,182,287,80,207,295,788,598,10,16419,1545,4948,7659,3958,626,8990,414,10773,1142,0,360,312,1188,362,331,52.2,37,1.37,105,68,66.7,10,2,15,10,37.0,2,2,0,2,0,5,2,33.9,0.3,-1.1,-0.04,743,33.2,316,16,5.1,28,1.04,15.7
Roma,it Serie A,28,27.2,55.9,30,330,2700,30.0,44,27,71,37,7,7,55,1,44.2,38.7,28.8,67.5,573,1224,1.47,0.9,2.37,1.23,2.13,1.47,0.96,2.43,1.29,2.25,418,129,30.9,13.93,4.3,0.09,0.29,18.0,14,13933,16563,84.1,241140,76383,6189,6836,90.5,6253,6943,90.1,1148,2049,56.0,313,1009,260,64,409,73,508,135,53,56,2,56,231,758,25.27,559,65,30,55,41,8,77,2.57,56,2,4,7,6,2,430,251,181,346,52.3,165,264,88,176,226,656,546,11,19594,1841,5669,9305,4781,708,11462,442,13804,1212,1,322,379,1175,357,356,50.1,30,1.0,118,89,78.0,15,7,8,12,40.0,4,0,0,4,0,4,1,33.3,0.25,4.3,0.14,949,34.7,358,23,6.4,27,0.9,14.5
Saint-Étienne,fr Ligue 1,32,26.5,46.1,26,286,2385,26.5,26,18,44,23,3,3,52,2,28.0,25.7,19.1,44.8,419,910,0.98,0.68,1.66,0.87,1.55,1.06,0.72,1.78,0.97,1.69,266,80,30.1,10.04,3.02,0.09,0.29,18.5,7,10007,12334,81.1,166809,60967,4850,5397,89.9,4197,4808,87.3,721,1520,47.4,202,761,167,26,315,39,288,85,29,34,0,39,211,474,17.89,352,31,36,28,17,10,48,1.81,34,2,5,3,4,0,462,300,240,477,50.3,237,307,100,207,268,730,678,19,15421,1919,5472,6616,3466,457,7984,428,9940,904,0,345,273,1132,262,304,46.3,63,2.42,170,107,70.6,5,5,16,3,11.5,13,2,0,13,0,4,2,58.3,0.28,-2.7,-0.1,730,34.5,403,21,5.2,22,0.85,13.3
Sevilla,es La Liga,34,26.8,51.7,29,319,2610,29.0,30,26,56,29,1,2,78,5,30.1,28.5,21.4,49.9,458,874,1.03,0.9,1.93,1.0,1.9,1.04,0.74,1.77,0.98,1.72,351,107,30.5,12.1,3.69,0.08,0.27,19.1,9,11254,14067,80.0,194885,67762,5342,5916,90.3,4787,5508,86.9,906,2012,45.0,264,789,148,41,368,96,442,144,89,20,0,55,245,609,21.0,433,54,46,42,24,10,55,1.9,46,3,3,3,0,0,475,284,227,417,54.4,190,275,64,211,272,747,675,14,17418,1824,6228,7812,3536,504,8631,485,11131,866,3,363,310,1211,409,339,54.7,39,1.34,109,70,67.9,9,9,11,9,31.0,4,1,0,4,1,4,1,35.4,0.29,-2.6,-0.09,823,37.6,402,22,5.5,35,1.21,13.3
Southampton,eng Premier League,34,26.0,50.4,29,319,2610,29.0,20,12,32,20,0,2,75,3,27.0,25.2,20.3,45.6,518,910,0.69,0.41,1.1,0.69,1.1,0.93,0.7,1.63,0.87,1.57,269,85,31.6,9.28,2.93,0.07,0.24,16.2,5,12410,14753,84.1,209183,67076,5877,6448,91.1,5372,5970,90.0,878,1696,51.8,217,791,175,47,370,43,436,124,82,25,0,39,212,495,17.07,348,45,38,36,21,7,33,1.14,19,3,3,7,0,1,504,294,214,460,46.5,246,336,147,189,236,740,697,44,17916,2286,6543,7726,3799,545,9990,353,12297,902,0,352,336,1122,361,306,54.1,70,2.41,196,126,67.3,2,3,24,2,6.9,6,0,0,6,0,11,0,66.5,0.32,-3.5,-0.12,959,36.9,398,27,6.8,22,0.76,6.5
St. Pauli,de Bundesliga,27,27.7,43.8,27,297,2430,27.0,21,19,40,20,1,2,37,1,28.5,26.9,22.5,49.4,336,851,0.78,0.7,1.48,0.74,1.44,1.06,0.83,1.89,1.0,1.83,296,80,27.0,10.96,2.96,0.07,0.25,17.2,10,9258,12136,76.3,164840,63677,4004,4652,86.1,4075,4857,83.9,920,1911,48.1,224,708,162,61,330,54,479,115,46,46,2,54,248,525,19.44,355,54,31,40,31,14,37,1.37,24,1,7,3,1,1,456,272,218,428,50.9,210,326,74,252,220,676,729,17,15243,1811,5448,6611,3311,510,7326,385,9141,837,0,276,274,1073,440,525,45.6,33,1.22,110,75,70.9,7,4,16,8,29.6,1,3,0,1,0,4,1,38.0,0.32,6.0,0.22,964,26.1,354,19,5.4,21,0.78,13.0
Strasbourg,fr Ligue 1,30,22.1,49.8,27,297,2430,27.0,44,34,78,42,2,2,58,1,39.5,37.9,30.2,68.1,439,935,1.63,1.26,2.89,1.56,2.81,1.46,1.12,2.58,1.41,2.52,277,114,41.2,10.26,4.22,0.15,0.37,15.9,8,11418,13661,83.6,198631,69701,4893,5411,90.4,5535,6223,88.9,804,1508,53.3,211,687,163,40,406,35,377,108,45,45,0,36,210,485,17.96,348,41,32,27,21,16,77,2.85,58,4,3,6,4,2,427,262,206,370,55.7,164,292,84,208,222,649,728,14,16727,2037,6894,7126,2861,470,9699,396,11307,924,0,317,348,1140,272,250,52.1,35,1.3,136,102,78.7,13,7,7,8,29.6,6,1,0,6,0,2,2,42.4,0.27,9.4,0.35,1156,25.6,432,30,6.9,41,1.52,11.1
Stuttgart,de Bundesliga,28,25.5,56.1,27,297,2430,27.0,44,31,75,42,2,5,62,4,45.9,42.0,32.4,74.4,423,1154,1.63,1.15,2.78,1.56,2.7,1.7,1.2,2.9,1.56,2.76,344,128,37.2,12.74,4.74,0.12,0.33,15.7,7,12644,15280,82.7,211582,77364,6297,6954,90.6,5042,5775,87.3,1028,1858,55.3,277,1009,282,70,391,56,495,139,57,36,1,52,237,629,23.3,483,38,35,49,18,6,73,2.7,50,2,7,10,3,1,391,230,202,389,51.9,187,328,82,246,231,622,633,19,18332,1859,5508,8615,4342,714,10057,416,12510,1143,2,280,330,1113,362,358,50.3,44,1.63,116,72,63.8,10,7,10,4,14.8,2,1,0,2,1,6,1,37.2,0.31,-5.8,-0.22,877,26.1,334,11,3.3,42,1.56,17.3
Torino,it Serie A,28,27.4,47.2,30,330,2700,30.0,32,20,52,31,1,2,67,2,26.0,24.5,17.1,41.6,410,874,1.07,0.67,1.73,1.03,1.7,0.87,0.57,1.44,0.82,1.39,292,100,34.2,9.73,3.33,0.11,0.31,18.1,10,10726,13439,79.8,195723,67378,4491,5153,87.2,4926,5616,87.7,1096,2082,52.6,212,738,189,62,341,64,514,120,75,34,0,48,218,514,17.13,387,43,20,34,24,6,52,1.73,34,6,4,3,4,1,373,203,181,345,52.5,164,280,114,166,226,599,701,17,16341,1917,5573,7479,3420,464,9518,372,10600,869,1,390,297,1021,407,463,46.8,35,1.17,145,108,76.6,9,12,9,9,30.0,1,4,0,1,1,7,2,40.6,0.26,7.6,0.25,1078,48.6,506,30,5.9,46,1.53,13.7
Tottenham,eng Premier League,31,25.9,56.8,29,319,2610,29.0,52,41,93,51,1,2,54,1,47.3,45.7,36.7,82.4,671,1294,1.79,1.41,3.21,1.76,3.17,1.63,1.27,2.9,1.58,2.84,411,151,36.7,14.17,5.21,0.12,0.34,16.0,8,13291,15959,83.3,219129,74127,6245,6937,90.0,5847,6563,89.1,836,1559,53.6,319,1021,313,68,440,55,593,210,93,49,0,44,351,724,24.97,533,54,49,54,26,8,90,3.1,68,5,8,6,2,1,532,339,247,479,51.6,232,342,117,225,241,773,587,32,19333,1985,6221,8148,5160,840,12119,412,13175,1285,1,327,378,1325,325,338,49.0,43,1.48,131,90,68.7,10,4,15,6,20.7,2,0,0,2,0,3,2,46.8,0.35,5.8,0.2,782,15.3,390,34,8.7,32,1.1,11.1
Toulouse,fr Ligue 1,27,25.9,46.0,27,297,2430,27.0,33,25,58,30,3,4,41,1,40.3,37.2,27.8,65.0,444,998,1.22,0.93,2.15,1.11,2.04,1.49,1.03,2.52,1.38,2.41,323,113,35.0,11.96,4.19,0.09,0.27,15.5,5,9349,11950,78.2,162096,60254,4162,4798,86.7,4217,4933,85.5,748,1581,47.3,242,695,228,51,372,70,474,130,72,46,0,34,236,569,21.07,379,73,31,36,36,14,61,2.26,42,5,4,4,5,1,507,298,269,501,53.7,232,284,81,203,232,739,612,14,15000,1492,4846,6820,3513,627,8248,417,9263,986,0,357,335,1259,355,344,50.8,33,1.22,82,50,61.0,9,7,11,9,33.3,1,1,0,1,0,4,2,27.8,0.33,-3.2,-0.12,559,35.1,338,9,2.7,26,0.96,12.1
Udinese,it Serie A,29,27.1,47.2,30,330,2700,30.0,36,24,60,34,2,4,70,4,30.0,26.8,20.6,47.4,448,911,1.2,0.8,2.0,1.13,1.93,1.0,0.69,1.69,0.89,1.58,337,107,31.8,11.23,3.57,0.1,0.32,17.4,9,10326,12962,79.7,191648,65588,4164,4734,88.0,4685,5434,86.2,1231,2161,57.0,239,775,197,90,381,73,549,143,42,64,1,41,212,593,19.77,431,55,26,43,23,15,54,1.8,30,3,5,11,3,2,456,280,225,411,54.7,186,315,110,205,245,701,697,18,16167,1916,5607,7252,3493,551,8956,441,10188,894,2,420,309,1142,427,393,52.1,41,1.37,123,87,72.4,11,7,12,8,26.7,7,0,1,7,3,6,5,38.7,0.28,2.7,0.09,794,30.9,428,16,3.7,25,0.83,15.0
Union Berlin,de Bundesliga,27,27.8,40.8,27,297,2430,27.0,26,17,43,23,3,3,65,1,31.0,28.6,20.6,49.2,314,867,0.96,0.63,1.59,0.85,1.48,1.15,0.76,1.91,1.06,1.82,344,96,27.9,12.74,3.56,0.07,0.24,16.5,6,8162,11186,73.0,146064,60919,3674,4335,84.8,3267,4103,79.6,931,1920,48.5,245,645,212,66,279,42,504,130,57,62,1,55,270,587,21.74,402,78,23,44,34,6,46,1.7,28,5,4,5,3,1,422,239,216,406,53.2,190,336,90,246,251,673,779,8,14459,1667,4970,6274,3342,586,7138,376,8088,853,0,348,251,1111,533,530,50.1,39,1.44,108,67,65.7,8,7,12,6,22.2,2,3,0,2,1,1,1,40.0,0.34,2.0,0.07,683,43.5,424,30,7.1,23,0.85,15.0
